Standard Stars G Band																										
#    	Image	Index 	Name  	Mag   	FWHM	Peak	Std?  	Error 	Error(T)	X	Y	Column	Row  	Backgr	S/N   	Mag Std	Residual	Net Count	Filter	Date	Time	JD	Airmass	ExpTime	Weight	Notes      
97	ngc2158_30_hi_g-0001_stack_wcs.fits	106	Mira-106	16.0152	6.692	251.817	0.0221	0.0351	06h08m12.681s	"24°13'42.935"""	47.744	1885.787	510.015	31	0	8073.22	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
98	ngc2158_30_hi_g-0001_stack_wcs.fits	107	Mira-107	14.1702	6.085	1756.42	0.0075	0.009	06h08m05.634s	"24°14'59.144"""	188.709	2007.669	474.019	120.5	0	44160.3	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
99	ngc2158_30_hi_g-0001_stack_wcs.fits	108	Mira-108	13.5805	5.448	3222.43	0.0058	0.0063	06h07m36.748s	"24°13'43.240"""	791.83	1920.41	457.021	172.5	0	76015.7	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
100	ngc2158_30_hi_g-0001_stack_wcs.fits	109	Mira-109	14.5329	5.303	1397.53	0.0088	0.0113	06h07m41.254s	"24°13'02.082"""	701.265	1853.844	452.518	96.3	0	31618.7	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
101	ngc2158_30_hi_g-0001_stack_wcs.fits	110	Mira-110	16.0133	5.709	310.179	0.0186	0.0333	06h07m08.313s	"24°06'14.429"""	1411.143	1269.367	445.002	32.6	0	8087.16	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
102	ngc2158_30_hi_g-0001_stack_wcs.fits	111	Mira-111	15.8745	6.332	325.356	0.0176	0.0299	06h07m03.334s	"24°04'50.610"""	1520.06	1147.515	448.499	36.3	0	9190.15	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
103	ngc2158_30_hi_g-0001_stack_wcs.fits	112	Mira-112	15.6074	5.479	435.946	0.0152	0.0244	06h07m07.923s	"24°02'57.690"""	1432.603	972.266	453.001	44.6	0	11753	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
104	ngc2158_30_hi_g-0001_stack_wcs.fits	113	Mira-113	13.8451	6.284	2117.04	0.0066	0.0074	06h07m12.031s	"24°03'10.974"""	1346.511	988.327	465.929	147.5	0	59573.5	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
105	ngc2158_30_hi_g-0001_stack_wcs.fits	114	Mira-114	12.7859	9.026	4053.26	0.0068	0.0041	06h06m51.127s	"24°03'30.921"""	1778.591	1039.074	486.622	265	0	158036	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
					6.2043																					
																										
														147.4		"97.4, 147.4"										
														64.5		"31, 64.5"										
														265.3		"120.5, 265.3"										
														289.2		"172.5, 289.2"										
														131.4		"96.3, 131.4"										
														51.2		"32.6, 51.2"										
														75.9		"36.3, 75.9"										
														67.6		"44.6, 67.6"										
														138.9		"147.5, 138.9"										
														268.4		"265, 268.4"										
