Standard Stars G Band																										
#    	Image	Index 	Name  	Mag   	FWHM	Peak	Std?  	Error 	Error(T)	X	Y	Column	Row  	Backgr	S/N   	Mag Std	Residual	Net Count	Filter	Date	Time	JD	Airmass	ExpTime	Weight	Notes      
16	ngc2158_30_hi_g-0001_stack_wcs.fits	25	Mira-25	12.9379	0.0892	0.0045	06h07m47.292s	"24°11'34.748"""	582	1716	572.987	241.3	0	137388	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
17	ngc2158_30_hi_g-0001_stack_wcs.fits	26	Mira-26	14.0086	0.0069	0.0081	06h07m50.838s	"24°13'00.732"""	502.872	1842.638	458.992	133.9	0	51247.8	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
18	ngc2158_30_hi_g-0001_stack_wcs.fits	27	Mira-27	13.1453	0.1163	0.005	06h07m53.472s	"24°14'06.114"""	444	1939	502.279	218	0	113493	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
19	ngc2158_30_hi_g-0001_stack_wcs.fits	28	Mira-28	13.3582	0.0054	0.0056	06h07m30.383s	"24°05'24.494"""	957.033	1172.374	487.468	194.3	0	93289	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
20	ngc2158_30_hi_g-0001_stack_wcs.fits	29	Mira-29	14.8163	0.0101	0.0137	06h07m28.090s	"24°02'39.879"""	1015.599	925.674	458.99	79.3	0	24355.6	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
21	ngc2158_30_hi_g-0001_stack_wcs.fits	30	Mira-30	13.1295	0.0048	0.0049	06h06m59.583s	"24°12'49.256"""	1565.108	1874.952	462.504	221.5	0	115166	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
22	ngc2158_30_hi_g-0001_stack_wcs.fits	31	Mira-31	14.6637	0.0094	0.0123	06h07m12.469s	"24°13'29.244"""	1295.53	1922.778	446.027	88.5	0	28029.6	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
23	ngc2158_30_hi_g-0001_stack_wcs.fits	32	Mira-32	14.5663	0.0089	0.0115	06h07m07.556s	"24°12'05.224"""	1402.992	1800.54	443.994	94.5	0	30661.6	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
24	ngc2158_30_hi_g-0001_stack_wcs.fits	33	Mira-33	13.142	0.1126	0.005	06h06m58.244s	"23°55'28.772"""	1664	303	484.86	219.1	0	113842	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
25	ngc2158_30_hi_g-0001_stack_wcs.fits	34	Mira-34	13.3876	0.0056	0.0057	06h07m17.103s	"23°56'10.661"""	1269.738	347.82	497.102	190.7	0	90798.2	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
